"時間","場所名","住所","該当ページURL","充電場所HP","充電器タイプ","利用可能時間","充電器タイプ","充電器出力","ビジター料金","その他","充電器総数","利用可能","利用中","故障中","休止中","未使用"
02/10/25 10:46,帯広日産　南２９丁目店,北海道帯広市大通南２９丁目２番地,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,0台利用できます,0台利用中です,1台休止中です,北海道,帯広市
02/10/25 10:47,帯広日産　帯広日産ＢＰセンター,北海道帯広市西２０条北１丁目１番地,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,帯広市
02/10/25 10:47,帯広日産　幕別店,北海道中川郡幕別町相川４７１番地１４,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,帯広市
02/10/25 10:47,帯広日産　西１６条店,北海道帯広市西１６条北１丁目２１番地,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,帯広市
02/10/25 11:00,プリンス札幌　月寒支店,北海道札幌市豊平区月寒中央通１１丁目６番３７号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 11:00,イトーヨーカドー　青森店,青森県青森市浜田１－１４－１,https://www.evcharger-network.com/chg_spot_search/,,普通充電器,10:00 ～ 21:00,ケーブル付き普通,200V,最初の15分まで33円、以降1分毎に2.2円,,44,42台利用できます,2台利用中です,0台休止中です,青森県,青森市
02/10/25 11:12,取得ミス,青森県上北郡野辺地町字観音林後１−１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大25kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,青森市
02/10/25 11:13,サティオ弘前　岩木店,青森県弘前市大字熊嶋字亀田１５３,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,弘前市
02/10/25 11:13,サティオ弘前　弘前店,青森県弘前市大字境関１丁目１－７,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,第１火曜日、水曜日定休日,1,1台利用できます,0台利用中です,0台休止中です,青森県,弘前市
02/10/25 11:13,サティオ弘前　弘前日産城北大橋店,青森県弘前市大字藤野２丁目７－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,0台利用できます,0台利用中です,1台休止中です,青森県,弘前市
02/10/25 11:13,サティオ弘前　神田店,青森県弘前市大字神田２丁目１－１０,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,弘前市
02/10/25 11:13,ファミリーマート大鰐町店,青森県南津軽郡大鰐町大字長峰字下川原１９−６,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大20kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,弘前市
02/10/25 11:13,取得ミス,青森県上北郡野辺地町字観音林後１−１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大25kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,弘前市
02/10/25 11:13,ローソン弘前湯口店,青森県弘前市大字湯口字一ノ細川５１−３,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大25kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,弘前市
02/10/25 11:14,東北自動車道　津軽ＳＡ（上り）,青森県平川市沖舘字比山館３２－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,弘前市
